idCustomer,idProduct,quantity
1,NULL,NULL
2,NULL,NULL
3,NULL,NULL
4,NULL,NULL
5,NULL,NULL
6,NULL,NULL
7,NULL,NULL
8,NULL,NULL
9,NULL,NULL
10,NULL,NULL
11,NULL,NULL
12,NULL,NULL
13,NULL,NULL
14,NULL,NULL
15,NULL,NULL
16,NULL,NULL
17,NULL,NULL
18,NULL,NULL
19,8,2
20,29,5
20,65,1
20,89,2
21,97,8
22,3,1
23,13,3
23,14,2
24,NULL,NULL
25,NULL,NULL
26,13,5
27,NULL,NULL
28,NULL,NULL
29,NULL,NULL
30,56,2
31,NULL,NULL
32,NULL,NULL
33,NULL,NULL
34,NULL,NULL
35,97,2
36,NULL,NULL
37,NULL,NULL
38,NULL,NULL
38,NULL,NULL
39,NULL,NULL
40,NULL,NULL
41,NULL,NULL
42,NULL,NULL
43,34,1
44,NULL,NULL
45,NULL,NULL
46,NULL,NULL
47,NULL,NULL
48,NULL,NULL
49,NULL,NULL
50,NULL,NULL
51,NULL,NULL
52,NULL,NULL
52,NULL,NULL
53,NULL,NULL
54,NULL,NULL
55,27,2
56,NULL,NULL
57,NULL,NULL
58,NULL,NULL
59,NULL,NULL
60,NULL,NULL
61,NULL,NULL
62,NULL,NULL
63,NULL,NULL
64,NULL,NULL
65,NULL,NULL
66,NULL,NULL
67,NULL,NULL
68,NULL,NULL
69,NULL,NULL
70,67,4
71,NULL,NULL
72,NULL,NULL
73,NULL,NULL
74,NULL,NULL
75,NULL,NULL
76,NULL,NULL
77,NULL,NULL
78,NULL,NULL
79,NULL,NULL
80,NULL,NULL
81,NULL,NULL
82,NULL,NULL
83,NULL,NULL
84,NULL,NULL
85,NULL,NULL
86,NULL,NULL
87,NULL,NULL
88,NULL,NULL
89,NULL,NULL
90,NULL,NULL
91,NULL,NULL
92,NULL,NULL
93,24,2
93,23,1
93,78,4
93,11,1NULL
94,NULL,NULL
95,NULL,NULL
96,NULL,NULL
97,NULL,NULL
98,NULL,NULL
99,NULL,NULL
100,NULL,NULL
