idOrder, idCustomer, totalAmount, orderDate, deliveryDate, idVoucher
1,49,500,2023-01-01,2023-01-02,NULL
2,66,100,2023-01-02,2023-01-03,NULL
3,93,1700,2023-01-03,2023-01-05,NULL
4,1,9499,2023-01-03,2023-01-05,NULL
5,88,999,2023-01-04,2023-01-06,NULL
6,39,8999,2023-01-05,2023-01-06,NULL
7,70,10000,2023-01-06,2023-01-09,NULL
8,62,5000,2023-01-07,2023-01-08,NULL
9,26,600,2023-01-08,2023-01-10,NULL
10,98,9999,2023-01-09,2023-01-12,NULL
11,32,6000,2023-01-10,2023-01-12,NULL
12,89,500,2023-01-11,2023-01-14,NULL
13,99,1125,2023-01-12,2023-01-14,12.00
14,60,3599,2023-01-13,2023-01-15,NULL
15,26,7495,2023-01-14,2023-01-16,NULL
16,50,3800,2023-01-15,2023-01-18,NULL
17,70,699,2023-01-16,2023-01-19,NULL
18,63,4000,2023-01-17,2023-01-19,NULL
19,11,36649,2023-01-17,2023-01-20,NULL
20,76,120,2023-01-18,2023-01-21,NULL
21,94,1700,2023-01-19,2023-01-22,NULL
22,61,3500,2023-01-20,2023-01-23,NULL
23,83,17749,2023-01-21,2023-01-24,NULL
24,75,7694,2023-01-22,2023-01-25,NULL
25,85,10000,2023-01-22,2023-01-29,NULL
26,10,5000,2023-01-23,2023-01-26,NULL
27,89,90,2023-01-24,2023-01-27,NULL
28,13,2500,2023-01-25,2023-01-28,NULL
29,95,2000,2023-01-26,2023-01-29,NULL
30,43,500,2023-01-27,2023-01-31,NULL
31,51,800,2023-01-27,2023-01-30,NULL
32,62,1245,2023-01-28,2023-01-31,NULL
33,55,200,2023-01-29,2023-02-01,NULL
34,63,2000,2023-01-30,2023-02-02,NULL
35,76,60110,2023-01-31,2023-02-03,NULL
36,47,800,2023-01-31,2023-02-02,NULL
37,48,34699,2023-02-01,2023-02-04,NULL
38,15,2320,2023-02-02,2023-02-05,1.00
39,48,2500,2023-02-03,2023-02-06,NULL
40,97,2000,2023-02-04,2023-02-07,NULL
41,6,200,2023-02-05,2023-02-09,NULL
42,41,2490,2023-02-05,2023-02-08,NULL
43,70,2000,2023-02-06,2023-02-09,NULL
44,91,735,2023-02-07,2023-02-10,NULL
45,91,4000,2023-02-08,2023-02-11,NULL
46,11,2000,2023-02-09,2023-02-12,NULL
47,31,500,2023-02-10,2023-02-13,NULL
48,90,500,2023-02-11, 2023-02-14,NULL
49,36,2500,2023-02-11, 2023-02-13,NULL
50,28,933.75,2023-02-12, 2023-02-14,3.00
51,1,18000,2023-02-12, 2023-02-13,NULL
52,21,120,2023-02-13, 2023-02-16,NULL
53,95,5000,2023-02-13, 2023-02-15,NULL
54,24,1500,2023-02-14, 2023-02-16,NULL
55,8,500,2023-02-14, 2023-02-15,NULL
56,49,100,2023-02-15, 2023-02-18,NULL
57,14,500,2023-02-15, 2023-02-17,NULL
58,23,2240,2023-02-16, 2023-02-19,NULL
59,27,35498,2023-02-16, 2023-02-18,NULL
60,70,800,2023-02-17, 2023-02-20,NULL
61,99,1000,2023-02-17, 2023-02-19,NULL
62,16,2500,2023-02-18, 2023-02-21,NULL
63,8,2000,2023-02-18, 2023-02-20,NULL
64,23,1200,2023-02-19, 2023-02-22,NULL
65,49,6000,2023-02-19, 2023-02-21,NULL
66,84,2885,2023-02-20, 2023-02-23,NULL
67,41,300,2023-02-20, 2023-02-22,NULL
68,84,1299,2023-02-21, 2023-02-24,NULL
69,1,4000,2023-02-21, 2023-02-23,NULL
70,31,800,2023-02-22, 2023-02-25,NULL
71,56,300,2023-02-22, 2023-02-24,NULL
72,80,2000,2023-02-23, 2023-02-26,NULL
73,40,1750,2023-02-23, 2023-02-25,7.00
74,21,18199,2023-02-24, 2023-02-27,NULL
75,3,500,2023-02-24, 2023-02-26,NULL
76,43,2500,2023-02-25, 2023-02-28,NULL
77,85,200,2023-02-25, 2023-02-27,NULL
78,33,1499,2023-02-26, 2023-03-01,NULL
79,58,1500,2023-02-26, 2023-02-28,NULL
80,83,5000,2023-02-26, 2023-02-28,NULL
81,61,100,2023-02-27, 2023-03-01,NULL
82,24,4000,2023-02-28, 2023-03-02,NULL
83,26,1200,2023-02-28, 2023-03-03,NULL
84,29,240,2023-03-01, 2023-03-03,NULL
85,70,13299,2023-03-02, 2023-03-04,NULL
86,28,1500,2023-03-02, 2023-03-05,NULL
87,9,6800,2023-03-03, 2023-03-06,NULL
88,38,700,2023-03-04, 2023-03-06,NULL
89,87,150,2023-03-05, 2023-03-07,NULL
90,72,12249,2023-03-06, 2023-03-08,NULL
91,47,80,2023-03-06, 2023-03-09,NULL
92,77,3260,2023-03-07, 2023-03-10,NULL
93,11,1200,2023-03-08, 2023-03-10,NULL
94,12,5196,2023-03-09, 2023-03-11,NULL
95,25,2000,2023-03-10, 2023-03-15,NULL
96,4,3000,2023-03-10, 2023-03-13,NULL
97,9,399,2023-03-11, 2023-03-14,NULL
98,70,1000,2023-03-12, 2023-03-14,NULL
99,56,1000,2023-03-13, 2023-03-15,NULL
100,88,900,2023-03-14, 2023-03-18,NULL
